,pdate,pdate 2,marka,cheader,cheader 2,comments
345,Oct 01,2013,A4 Front Track,Excessive Oil Usage,"40,000 miles","['audi', '2009', '2011', 'made', 'car', 'oil', 'consumption', 'problem', 'class', 'action', 'law', 'suit', 'filed', 'car', 'tested', 'go', 'one', 'quart', 'oil', 'every', '1000', 'mile', 'ridiculous', 'would', 'pay', 'half', '3500', 'repair', 'due', 'mileage', 'however', 'informing', 'audi', 'dealership', 'audi', 'raleigh', 'issue', 'month', 'prior', 'receiving', 'class', 'action', 'law', 'suitthey', 'terrible', 'car', 'management', 'faulty', 'way', 'treat', 'customer', 'less', 'satisfactory', 'needless', 'say', 'never', 'buy', 'another', 'audi', 'would', 'recommend', 'dont', 'either']"
346,Jan 02,2012,A4 2.0L,Excessive Oil Usage,"81,000 miles","['2011', 'audi', 'burned', 'oil', 'every', '2500', 'mile', 'get', 'go', 'brought', 'dealer', 'consumption', 'test', 'phase', '1', 'phase', '2', '2012', 'said', 'normal', 'recently', 'add', 'oil', 'every', '600', 'mile', 'called', 'dealer', 'said', 'test', '2012', 'came', 'back', 'normal', 'nothing', 'crock', 'never', 'buy', 'audi']"
347,Jul 30,2014,A4 Quattro 2.0L,Excessive Oil Usage,"65,678 miles","['car', 'using', 'oil', 'every', '800', 'mile', 'righthad', 'serviced', 'qualified', 'audi', 'dealership', 'day', 'onethey', 'never', 'mentioned', 'problem']"
348,Sep 14,2019,Civic LX-S 1.8L,Clear Coat Peeling,"125,500 miles","['paint', 'car', 'really', 'bad', 'washed', 'car', 'applied', 'wax', 'day', 'later', 'see', 'chip', 'left', 'fender', 'here', 'get', 'touch', 'paint', 'body', 'shop', 'week', 'get', 'car', 'plasti', 'dipped', 'car', 'may', 'look', 'cool', 'want', 'protect', 'paint', '3', 'year', 'reapply', 'maybe', 'go', 'ceramic', 'coating', 'plasti', 'dip', 'aint', 'thing']"
349,May 01,2020,Civic,Clear Coat Peeling,"62,000 miles","['nice', 'know', 'problem', 'irks', 'manufacturer', 'see', 'there', 'problem', 'something', 'dont', 'acknowledge', 'oh', 'well']"
350,Aug 10,2016,Civic Coupe 3.2L,Clear Coat Peeling,"45,360 miles","['im', 'surprised', 'honda', 'admitting', 'problem']"
351,Jun 01,2016,Civic DX 4 Door 4,Clear Coat Peeling,"40,389 miles","['2009', 'honda', 'look', 'awful', 'clearcoat', 'peeling', 'badly', 'feel', 'recall', 'honda', 'regarding', 'since', 'ive', 'noticed', 'lot', 'hondas', 'especially', 'color', 'experiencing', 'issue', 'terrible', 'baby', 'vehicle', 'look', 'incredibly', 'bad', 'isnt', 'recall', 'rectified', 'honda', 'purchasing', 'vehicle', 'thats', 'certain']"
352,Jan 01,2020,Civic LX,Clear Coat Peeling,"88,000 miles","['body', 'paint', 'shop', 'say', '800', 'repair']"
353,May 05,2017,Civic EX,Clear Coat Peeling,"51,000 miles","['honda', 'car', 'appear', 'paintclear', 'top', 'coat', 'peeling', 'issue', 'went', '3', 'different', 'autobody', 'shop', 'told', 'thing', 'repaint', 'whole', 'car', 'mean', '450000', '10', 'day', '3', 'week', 'without', 'car', 'acceptable', 'considering', 'frequent', 'complaint', 'honda', 'owner', 'honda', 'something', 'family', 'first', 'honda', 'generally', 'good', 'car', 'last', 'long', 'time', 'however', 'would', 'recommend', 'car', 'without', 'adding', 'peeling', 'issue', 'buyer', 'warned']"
354,Feb 01,2017,Civic ES 1.3L,Clear Coat Peeling,"96,934 miles","['ill', 'start', 'saying', 'love', 'honda', 'look', 'awful', 'clear', 'coat', 'roof', 'disgusting', 'look', 'look', 'like', 'car', 'rotting']"
355,Apr 01,2015,Civic ES,Clear Coat Peeling,"50,000 miles","['clear', 'coat', 'totally', 'peeling', 'car', 'started', 'year', 'ago', 'contacted', 'honda', 'told', 'recall', 'missed', 'nearly', 'year', 'told', 'never', 'notified', 'recall', 'said', 'contact', 'find', 'recall', 'notice', 'sent', 'owner', 'worker', 'honda', 'dealership', 'told', 'dark', 'blue', 'civics', 'mainly', 'affected', 'clear', 'coat', 'peeling', 'look', 'awful', 'fcking', 'embarrassing', 'driving', 'civic', 'looking', 'like', 'brillo', 'used', 'rub', 'clear', 'coat', 'drive', 'car', 'around', 'tell', 'people', 'expect', 'buy', 'honda', 'hope', 'honda', 'enjoys', 'free', 'advertising', 'giving', 'quality', 'honda', 'paint', 'job', 'silent', 'recall', 'would', 'ever', 'think', 'call', 'ask', 'recall', 'disappointed', 'company']"
356,Jan 03,2016,Civic CXG,Clear Coat Peeling,"99,419 miles","['hondas', 'generally', 'great', 'car', 'game', 'changer', 'everything', 'work', 'well', 'look', 'like', 'garbage', 'quickly', 'getting', 'worse', 'brings', 'resale', 'car', 'feel', 'good', 'driving', 'around', 'definitely', 'go', 'toyota', 'next', 'vehicle']"
357,Jan 01,2018,Civic,Clear Coat Peeling,"115,000 miles","['say', 'proud', 'owner', 'red', '2009', 'honda', 'civic', 'sedan', 'take', 'exceptional', 'care', 'car', 'keeping', 'weather', 'whenever', 'possible', 'washing', 'waxing', 'regularly', 'cleaning', 'inside', 'weekly', 'car', 'never', 'type', 'wreck', 'knock', 'wood', 'ive', 'never', 'ticket', 'absolutely', 'love', 'car', 'thoroughly', 'enjoyed', 'driving', 'beginning', 'year', 'noticed', 'paint', 'roof', 'civic', 'body', 'meet', 'back', 'windshield', 'dull', 'beginning', 'turn', 'white', 'short', 'month', 'paint', 'peeled', 'across', 'roof', 'car', 'clear', 'coat', 'failed', 'badly']"
358,Mar 01,2018,Civic SI 2.O,Clear Coat Peeling,"105,633 miles","['definitely', 'unacceptable', 'faded', 'spot', 'area', 'two', 'car', 'one', 'csx', 'civic', 'thats', 'parked', 'garage', 'yet', 'visit', 'dealer', 'paint', 'shop', 'thought', 'wiser', 'visit', 'forum', 'first', 'get', 'feel', 'many', 'experiencing', 'issue', 'proceeding']"
359,Mar 01,2018,Civic LX,Clear Coat Peeling,"91,342 miles","['several', 'honda', 'civics', 'problem', 'family', 'civics', 'thing', 'frustrating']"
360,May 01,2015,Civic LX 1.8L,Clear Coat Peeling,"50,000 miles","['noticed', 'problem', 'similar', 'vehicle', 'recall', 'made', 'however', 'never', 'notified', 'becoming', 'worse', 'time', 'go']"
361,Mar 20,2011,Civic GX,Clear Coat Peeling,"57,788 miles","['dealer', '2', 'different', 'one', 'said', 'environmental', 'normal', 'car', 'garage', 'kept', 'life', 'auto', 'paint', 'technician', 'say', 'definitely', 'paint', 'defect', 'honda', 'customer', 'support', 'say', 'problem', '2004', 'vehicle', 'five', 'year', 'older', 'issue', 'paint', 'car', 'look', 'horrible', 'book', 'value', '2009', 'would', 'repaint', 'worth']"
362,Jan 01,2017,Civic EX,Clear Coat Peeling,"69,000 miles","['bought', '2009', 'civic', 'new', 'year', 'year', 'half', 'ago', 'noted', 'looked', 'tree', 'sap', 'damage', 'roof', 'car', 'relatively', 'small', 'blotch', 'time', 'grew', 'seen', 'photo', 'well', 'couple', 'month', 'ago', 'wife', 'decides', 'take', 'car', 'local', 'body', 'shop', 'get', 'fixed', 'learned', 'clear', 'coat', 'failing', 'honda', 'technical', 'service', 'bulletin', 'extended', 'paint', 'warranty', '7', 'year', 'great', 'didnt', 'u', 'good', 'since', 'found', 'year', 'extended', 'warranty', 'period', 'ended', 'honda', 'certainly', 'didnt', 'want', 'news']"
363,Feb 01,2016,Civic EX 3.2L,Clear Coat Peeling,"39,000 miles","['bought', 'honda', 'civic', 'ex', 'used', '2014', '37700', 'mile', 'peeling', 'informed', 'may', 'problem', 'surprise', 'surprise']"
364,Aug 01,2016,Civic,Clear Coat Peeling,"87,000 miles","['car', 'run', 'great', 'look', 'like', 'piece', 'crap', 'took', 'honda', 'find', 'want', 'cover', '25', 'cost', 'repair', 'issue', 'told', 'body', 'shop', 'manager', 'see', 'issue', 'time']"
365,Sep 01,2016,Civic EX,Clear Coat Peeling,"75,000 miles","['paint', 'roof', 'failed', 'front', 'back', 'trunk', 'beginning', 'fail']"
366,Jan 04,2016,Civic SI 4,Clear Coat Peeling,"80,000 miles","['roof', '2009', 'honda', 'civic', 'si', 'clear', 'coat', 'peeling', 'would', 'need', 'repainted', 'common', 'issue', 'im', 'discovering', 'hasnt', 'honda', 'issued', 'recall', 'take', 'good', 'care', 'car', 'parked', 'garage', 'nearly', 'every', 'night', 'share', 'cover', 'texas', 'heat', 'hard', 'time', 'reselling', 'vehicle', 'need', 'repainted', 'honda', 'pay']"
367,Apr 12,2013,Civic EX 1.8L,Clear Coat Peeling,"21,000 miles","['bought', '2009', 'honda', 'civic', 'brand', 'new', 'two', 'half', 'year', 'later', 'clear', 'coat', 'started', 'crack', 'multiple', 'panel', 'luckily', 'caught', 'problem', 'early', 'major', 'damage', 'could', 'done', 'paint', 'still', 'warranty', 'honda', 'able', 'take', 'local', 'shop', 'get', 'entire', 'car', 'repainted', 'free', 'charge', 'extremely', 'happy', 'car', 'came', 'back', 'looking', 'brand', 'new', 'didnt', 'make', 'problem', 'less', 'annoying', 'deal']"
368,Dec 12,2019,RAV4 Adventure,Hesitates And Lurches At Slower Speeds,500 miles,"['son', 'bought', '2019', 'rav', '4', 'adventure', 'trim', 'last', 'thanksgiving', 'suddenly', 'hesitating', 'accelerate', 'every', 'time', 'shift', 'next', 'gear', 'go', 'safe', 'need', 'accelerate', 'escape', 'bad', 'situation']"
369,May 28,2019,RAV4 Limited 2.5L I4,Hesitates And Lurches At Slower Speeds,"1,230 miles","['coming', 'stop', 'sign', 'stopping', 'car', 'stop', 'go', 'traffic', 'car', 'jerk', 'forward', 'harsh', 'leave', 'acceleration', 'pedal', 'apply', 'slow', 'car', 'doesnt', 'move', 'forward', 'fast', 'easily', 'reproducible', 'problem', 'happens', 'normal', 'mode', 'often', 'guess', 'transmission', 'doesnt', 'know', 'switch', 'gear', 'pathetic', 'toyota', 'behalf', 'testing', 'car', 'thoroughly', 'selling']"
370,Jan 07,2019,RAV4,Hesitates And Lurches At Slower Speeds,100 miles,"['2019', 'rav4', 'xle', 'awd', 'problem', 'coming', 'stop', 'hard', 'shift', '21', 'problem', 'always', 'present', 'car', 'cold', 'another', 'problem', 'im', 'stopping', 'fully', 'pressing', 'gas', 'hesitation', 'jerk', 'transmission', 'called', 'toyota', 'corp', 'told', 'problem', 'case', 'manager', 'joan', 'collins', 'took', 'case', 'person', 'useless', 'dont', 'want', 'help']"
371,Jun 18,2019,RAV4 LE 2.3L,Hesitates And Lurches At Slower Speeds,125 miles,"['transmission', 'mind', 'stop', 'go', 'accelerating', 'transmission', 'doesnt', 'seem', 'know', 'jerk', 'lurch', 'speeding', 'slowing', 'traffic', 'issue', 'quality', 'vehicle']"
372,Feb 25,2019,RAV4 XLE 2.5L I4,Hesitates And Lurches At Slower Speeds,15 miles,"['bought', '2019', 'rav4', 'xle', 'feb', '2019', 'though', 'first', 'year', 'redesign', 'ridden', 'driven', 'owned', 'toyota', 'since', '1969', 'never', 'issue', 'based', 'bought', 'first', 'experienced', 'monday', 'going', 'work', '510', 'mph', 'gave', 'gas', 'engine', 'revved', 'really', 'high', 'transmission', 'jerked', 'shifted', 'upwards', 'initially', 'thought', 'hell', 'wrong', 'work', 'around', 'speed', 'gradually', 'accelerate', 'want', 'took', 'vehicle', '5k', 'mentioned', 'dealership', 'said', 'way', 'designed', 'took', '10k', 'end', 'august', 'told', 'said', 'thing', 'one', 'volunteered', 'go', 'drive']"
373,Jun 15,2019,RAV4 XLE Premium,Hesitates And Lurches At Slower Speeds,50 miles,"['im', 'also', 'experiencing', 'jerklurch', 'slow', 'speed']"
374,Dec 21,2019,RAV4 XLE Premium 2.5L 4,Hesitates And Lurches At Slower Speeds,"6,173 miles","['passenger', 'seat', 'wife', 'driving', 'slowly', 'busy', 'parking', 'lot', 'car', 'hesitated', 'took', 'like', 'shot', 'asked', 'heck', 'thought', 'spazzing', 'tell', 'car', 'often', 'normal', 'mode', 'sport', 'mode', 'shes', 'okay', 'similar', 'issue', 'new', '06', 'avalon', 'deemed', 'normal', 'found', 'tsb', 'printed', 'showed', 'dealership', 'insisted', 'fixed', 'unacceptable', 'see', 'car', 'easily', 'rearending', 'another', 'car', 'congested', 'road']"
375,Mar 02,2022,RAV4 XLE Premium 2.5L L4,Hesitates And Lurches At Slower Speeds,"19,000 miles","['bought', 'new', '2019', 'toyota', 'rav4', 'first', 'thought', 'lurching', 'hesitation', 'low', 'speed', 'would', 'go', 'away', 'due', 'new', 'car', 'case', 'finally', 'googled', 'problem', 'youtube', 'gary', 'pollard', 'fist', 'pump', 'guy', 'found', 'although', 'toyota', 'didnt', 'recall', 'problem', 'case', 'number', 'tsb010719', 'made', 'appointment', 'toyota', 'service', 'mentioned', 'problem', 'need', 'case', 'number', 'check', 'engine', 'light', 'isnt', 'check', 'engine', 'light', 'never', 'came', 'took', 'hour', 'half', 'get', 'problem', 'resolved', 'tech', 'said', 'performed', 'software', 'update', 'far', 'worked', 'im', 'pleased', 'rav4', '3', 'year', 'old', '19000', 'mile', 'lurching', 'going', 'since', 'purchased', 'car']"
376,Apr 01,2019,RAV4 XLE,Hesitates And Lurches At Slower Speeds,"4,900 miles","['leased', 'new', '2019', 'toyota', 'rav4', 'xle', 'april', 'since', 'day', 'issue', 'rough', 'drive', 'come', 'complete', 'stop', 'try', 'either', 'turn', 'oncoming', 'traffic', 'turn', 'left', 'across', 'intersection', 'car', 'hesitate', 'go', 'slow', 'push', 'harder', 'rocket', 'forward', 'extremely', 'scary', 'unsafe', 'aspect']"
377,Apr 01,2019,RAV4 XLE,Hesitates And Lurches At Slower Speeds,"4,900 miles","['leased', 'new', '2019', 'toyota', 'rav4', 'xle', 'april', 'since', 'day', 'issue', 'rough', 'drive', 'stopping', 'go', 'push', 'gas', 'lurch', 'forward', 'also', 'ease', 'break', 'rock', 'back', 'forth', 'describe', 'like', 'trying', 'drive', 'stick', 'shift', 'dont', 'know', 'use', 'clutch']"
378,Jul 01,2019,RAV4 LX 4 cyl,Hesitates And Lurches At Slower Speeds,"10,000 miles","['cant', 'believe', 'toyota', 'would', 'put', 'something', 'worthless', 'showroom', 'floor', 'long', 'making', 'car', 'car', 'shift', 'like', 'junk', 'first', 'gear', 'awful', 'fix', 'problem', 'nobody', 'like', 'jerked', 'around', 'brand', 'new', 'car']"
379,Oct 21,2019,RAV4 Adventure 4WD 2.5L,Hesitates And Lurches At Slower Speeds,932 miles,"['car', 'going', 'slow', 'speed', 'jerking', 'start', 'cause', 'accident', 'easier', 'normal', 'toyota', 'must', 'find', 'solution']"
380,Aug 23,2019,RAV4 LE V4,Hesitates And Lurches At Slower Speeds,5 miles,"['bought', '2019', 'rav', '4', 'fifth', 'rav4', 'disappointed', 'many', 'thing', 'share', 'large', 'number', 'owner', 'rav', '4', 'online', 'lurching', 'slow', 'speed', 'particularly', 'annoying', 'toyota', 'sent', 'technical', 'service', 'bulletin', '81519', 'address', 'issue', 'called', 'hesitation', 'acceleration', 'slow', 'roll', 'rolling', 'stop', 'number', 'tsb010719', 'find', 'google', 'use', 'speak', 'service', 'rep', 'get', 'fixed']"
381,Nov 01,2019,RAV4 LE,Hesitates And Lurches At Slower Speeds,"5,000 miles","['low', 'speed', 'come', 'complete', 'stop', 'accelerate', 'vehicle', 'lunge', 'quite', 'significantly', 'also', 'come', 'complete', 'stop', 'hear', 'clunk', 'engine', 'disengaging', 'clunk', 'complete', 'stop', 'annoying', 'part', 'lunging']"
382,Aug 28,2020,RAV4 Adventure,Hesitates And Lurches At Slower Speeds,"15,885 miles","['2019', 'toyota', 'rav', '4', 'adventure', '15885', 'mile', 'started', 'making', 'type', 'grinding', 'noise', 'breaking', 'turning', 'began', 'making', 'noise', 'slow', 'stopping', 'stop', 'light', 'stop', 'sign', 'accelerating', 'took', 'toyota', 'dealer', 'head', 'service', 'department', 'rode', 'u', 'hear', 'noise', 'turn', 'magnetic', 'clutch', 'toyota', 'sent', 'technical', 'bulletin', 'aware', 'problem', 'toyota', 'fixed', 'couple', 'day', 'ago', 'far', 'good', 'rav', 'seems', 'drive', 'better', 'hesitating', 'acceleration', 'either']"
383,Oct 01,2019,RAV4 LE 2.2L,Hesitates And Lurches At Slower Speeds,"3,728 miles","['2019', 'rav4', 'drive', 'like', 'vehicle', 'manual', 'transmission', 'driver', 'learning', 'drive', 'stick', 'shift', 'first', 'time', 'jerk', 'lurch', 'slow', 'speed', 'approach', 'stop', 'sign', 'adjust', 'driving', 'habit', 'try', 'get', 'drive', 'smooth', 'possible', 'toyota', 'dealer', 'could', 'find', 'problem', 'vehicle']"
384,Sep 26,2020,RAV4,Hesitates And Lurches At Slower Speeds,"10,000 miles","['bought', 'rav4', '2019', 'brand', 'new', 'decent', 'vehicle', 'noticed', 'small', 'hesitationssurges', 'stop', 'occasional', 'lane', 'change', 'since', 'newer', 'told', 'normal', 'breaking', 'new', 'car', '10000', 'mile', 'pulling', 'driveway', 'foot', 'brake', 'ready', 'put', 'car', 'park', 'suddenly', 'car', 'lurched', 'forward', 'jumped', 'gear', 'hit', 'garagei', 'pulling', 'garage', 'parking', 'driveway', 'felt', 'like', 'self', 'driving', 'component', 'involved', 'front', 'end', 'car', 'seriously', 'damaged', 'airbags', 'deploy', 'passengerwitness', 'car', 'son', 'inside', 'garage', 'near', 'car', 'hit', 'bought', 'toyota', 'service', 'plan', 'taken', 'twice', 'servicing', 'never', 'asked', 'anything', 'surge', 'toyota', 'know', 'occurring']"
385,Feb 12,2020,RAV4 XLE 2.5L V4,Hesitates And Lurches At Slower Speeds,"8,200 miles","['done', 'research', 'buying', 'buy', 'used', '8k', 'know', 'traded', 'salesman', 'told', 'buyer', 'beware']"
386,Nov 20,2019,RAV4 LE,Hesitates And Lurches At Slower Speeds,"28,000 miles","['purchased', '2019', 'rav4', 'le', 'october', '2018', '17500', 'mile', 'car', 'purchased', 'used', 'started', 'feeling', 'weird', 'jolting', 'engine', 'lower', 'speed', 'around', '19k', 'mile', 'seems', 'like', 'gear', 'shift', 'properly', 'google', 'search', 'see', 'others', 'similar', 'problem', 'came', 'across', 'additional', 'forum', 'people', 'stating', 'issue', 'took', 'local', 'toyota', 'dealership', 'checked', 'told', 'issue', 'stated', 'people', 'referring', 'car', 'forum', 'took', 'car', 'said', 'updated', 'software', 'good', 'seemed', 'fine', 'one', 'day', 'started', 'lurchingjolting', 'gear', 'driving', 'took', 'toyota', 'dealership', 'second', 'time', 'telling', 'issue', 'said', 'would', 'check', 'day', 'returned', 'back', 'stating', 'couldnât', 'find', 'anything', 'wrong', 'still', 'issue', 'iâm', 'furious', 'purchased', 'toyota', 'supposed', 'reliable', 'safe', 'known', 'issue', 'car', 'would', 'never', 'bought', '2019', 'rav4', 'news', 'article', 'issue', 'toyota', 'still', 'playing', 'dumb', 'itâs', 'time', 'take', 'responsibility', 'make', 'right', 'customer']"
387,Nov 04,2019,RAV4 LE 2.5L,Hesitates And Lurches At Slower Speeds,326 miles,"['bought', 'new', '2019', 'rav4', 'less', 'week', '525km', 'transmission', 'banged', 'gear', 'car', 'jerking', 'forward', 'toyota', 'reset', 'car', 'still', 'jerking', 'got', 'toyota', 'canada', 'admit', 'transmission', 'problem', 'fix', 'wish', 'canada', 'lemon', 'law', 'like', 'u', 'trying', 'get', 'toyota', 'take', 'car', 'backdo', 'want', 'first', 'toyota', 'bought', 'last', 'buy', 'car', 'big', 'pain', 'as']"
388,Nov 00,2017,CR-V LX V6,Unwanted Acceleration When Braking,"60,000 miles","['experience', 'increased', 'acceleration', 'braking', 'nearly', 'hitting', 'building']"
389,Sep 03,2016,CR-V EX 2.4L L4,Unwanted Acceleration When Braking,"46,000 miles","['driver', 'driving', 'shopping', 'mall', 'parking', 'lot', 'pulling', 'parking', 'space', 'driver', 'pressing', 'brake', 'pedal', 'driver', 'noticed', 'burning', 'odor', 'felt', 'car', 'start', 'accelerate', 'car', 'continued', 'accelerate', 'jumped', 'curb', 'proceeded', 'move', 'across', 'driving', 'lane', 'headed', 'toward', 'side', 'building', 'driver', 'kept', 'foot', 'brake', 'steered', 'car', 'path', 'tree', 'front', 'building', 'avoid', 'hitting', 'building', 'car', 'struck', 'tree', 'came', 'stop', 'still', 'waiting', 'insurance', 'company', 'get', 'estimate', 'car', 'repaired', 'really', 'dont', 'want', 'drive', 'car', 'anymore']"
390,May 16,2016,CR-V EX 2.5L V4,Unwanted Acceleration When Braking,"63,201 miles","['fully', 'stopped', 'intersection', 'foot', 'brake', 'engine', 'accelerated', 'car', 'bucked', 'point', 'jammed', 'foot', 'harder', 'brake', 'keep', 'entering', 'intersection']"
391,Aug 23,2015,CR-V ES 2.4L,Unwanted Acceleration When Braking,"60,000 miles","['braking', 'stop', 'light', 'engine', 'accelerated', 'happened', 'however', 'worry', 'happen', 'make', 'husband', 'nervous', 'say', 'least']"
392,Nov 11,2013,CR-V EX,Unwanted Acceleration When Braking,"20,000 miles","['stopped', 'stoplight', 'took', 'foot', 'brake', 'pedal', 'make', 'left', 'hand', 'turn', 'car', 'shot', 'forward', 'like', 'rocket', 'uncontrollably', '20', 'mile', 'hour', 'without', 'foot', 'gas', 'less', '25', 'foot']"
393,Dec 20,2012,CR-V LX 2.4L,Unwanted Acceleration When Braking,"19,653 miles","['way', 'work', 'incident', 'unintended', 'acceleration', 'able', 'stop', 'car', '10', 'second', 'switching', 'transmission', 'neutral', 'brought', 'car', 'honda', 'next', 'morning', 'two', 'week', 'received', 'letter', 'honda', 'canada', 'stating', 'pedal', 'misapplication', 'interference', 'pedal', 'application', 'unanchored', 'aftermarket', 'floor', 'mat']"
394,Dec 20,2012,CR-V LX 2.4L,Unwanted Acceleration When Braking,"19,653 miles","['way', 'work', 'december', '20', '2012', 'driving', '2011', 'honda', 'crv', 'lx', 'incident', 'unintended', 'acceleration', 'swerve', 'right', 'jump', 'curb', 'right', 'wheel', 'road', 'order', 'avoid', 'collision', 'car', 'going', 'high', 'speed', 'relative', 'traffic', 'attempt', 'use', 'brake', 'unsuccessful', 'able', 'stop', 'car', '10', 'second', 'switching', 'transmission', 'neutral', 'fortunately', 'nobody', 'injured', 'damage', 'vehicle', 'done']"
395,Apr 22,2013,CR-V EX-L 2.4L V4,Unwanted Acceleration When Braking,"20,225 miles","['trying', 'park', 'vehicle', 'paking', 'spot', 'parking', 'lot', 'shopping', 'center', 'trying', 'bring', 'vehicle', 'complete', 'stop', 'pressing', 'brake', 'pedal', 'vehicle', 'kept', 'moving', 'faster', 'faster', 'vehicle', 'hit', 'brick', 'wall', 'building', 'air', 'bag', 'deployed', 'repair', 'cost', 'accedent', '10', '00000', 'incident', 'reported', 'honda', 'honda', 'dealer', 'honda', 'sent', 'representative', 'inspected', 'vehicle', 'two', 'hour', 'finally', 'gave', 'report', 'problem', 'brake', 'system', 'vehicle', 'also', 'told', 'u', 'front', 'representative', 'dealer', 'one', 'honda', 'hq', 'ca', 'contact', 'u', 'never', 'contacted', 'honda', 'today', 'june', '6', '2013']"
396,Apr 12,2011,CR-V SE 4,Unwanted Acceleration When Braking,"1,000 miles","['4th', 'honda', 'crv', 'car', 'suddenly', 'intermittently', 'would', 'accelerate', 'upon', 'braking', 'naturally', 'dealer', 'could', 'duplicate', 'problem', 'feared', 'drive', 'hazard', 'traded', 'immediately', 'would', 'like', 'buy', 'new', 'crv', 'simply', 'trust', 'honda', 'way', 'crv', 'test', 'drove', 'thought', 'bought', 'turned', 'different', 'car', 'checked', 'vin', 'number', 'purchase', 'order', 'dealer', 'substituted', 'identical', 'new', 'crv', 'indicating', 'didnt', 'matter', 'one', 'test', 'drove', 'thought', 'purchased', 'made', 'ohio', 'one', 'gave', 'made', 'japan', 'wonder', 'hidden', 'defect', 'associated', 'production', 'site', 'didnt', 'report', 'originally', 'anybody', 'dealer', 'dealer', 'reported', 'heard', 'problem', 'hadnt', 'experienced', 'could', 'replicate', 'car', 'periodically', 'monitored', 'site', 'decided', 'add', 'complaint', 'albeit', 'several', 'year', 'later', 'day', 'every', 'time', 'hit', 'brake', 'current', 'cari', 'wonder', 'work', 'properly', 'expediency', 'traded', 'crv', 'another', 'honda', 'model', 'dealer', 'lost', 'money', 'process', 'fast', 'easy', 'credit', 'dealer', 'accommodating', 'nevertheless', 'doubt', 'would', 'ever', 'trust', 'honda', 'wide', 'variety', 'quality', 'product', 'today', 'wonder', 'happened', 'person', 'bought', 'slightly', 'used', 'crv', 'whether', 'dealer', 'disclosed', 'undiagnosed', 'brakingacceleration', 'problem', 'thanks', 'ralph']"
397,Sep 14,2011,CR-V,Unwanted Acceleration When Braking,500 miles,"['involuntary', 'acceleration', 'absolutely', 'frightening', 'first', 'five', 'time', 'thought', 'imagining', 'second', 'time', 'thought', 'sandal', 'causing', 'problem', 'third', 'time', 'husband', 'could', 'stop', 'car', 'stepped', 'brake', 'car', 'accelerated', 'stop', 'could', 'believe', 'husband', 'insisted', 'take', 'car', 'back', 'dealer', 'kept', 'car', 'week', 'called', 'specialist', 'honda', 'course', 'could', 'replicate', 'problem', 'think', 'put', 'new', 'sensor', 'car', 'rev', '3', 'rpm', 'gas', 'gas', 'mileage', '510', 'mile', 'less', 'beforei', 'dont', 'trust', 'car', 'anymore', 'still', 'acceleration', 'problemnow', 'one', 'year', 'old', 'thinking', 'another', 'make', 'model', 'looking', 'itread', 'complaint', 'accurate', 'description', 'experience', 'know', 'u', 'therethanks', 'forum']"
398,Sep 06,2012,CR-V ES V4,Unwanted Acceleration When Braking,"26,500 miles","['bought', 'certified', '2011', 'honda', 'crv', 'happy', 'wife', 'experienced', 'horrible', 'incident', 'stopped', 'red', 'light', 'behind', '18', 'wheeler', 'suddenly', 'car', 'started', 'move', 'forward', 'wife', 'frantically', 'applied', 'brake', 'without', 'result', 'car', 'hit', '18', 'wheeler', 'continue', 'push', 'forward', '18', 'wheeler', 'even', 'notice', 'took', 'turned', 'ignition', 'car', 'rolled', 'side', 'road', 'dealer', 'ran', 'kind', 'testing', 'test', 'drove', 'vehicle', 'course', 'find', 'issue', 'told', 'u', 'found', 'water', 'bottle', 'rolling', 'around', 'driver', 'side', 'floor', 'bother', 'telling', 'water', 'bottle', 'could', 'landed', 'floor', 'vehicle', 'towed', 'concerned', 'issue', 'hoping', 'hear', 'found', 'something', 'possible', 'solution']"
399,Jul 22,2012,CR-V,Unwanted Acceleration When Braking,"2,600 miles","['bought', 'car', 'new', 'october', '2011', 'problem', 'three', 'time', 'within', 'first', 'month', 'brought', 'dealer', 'checked', 'found', 'nothing', 'began', 'think', 'dodge', 'durango', 'prior', 'crv', 'widely', 'spaced', 'pedal', 'might', 'pressing', 'gas', 'brake', 'time', 'extra', 'careful', 'never', 'happened', 'yesterday', 'car', 'really', 'took', 'luckily', 'garage', 'much', 'damage', 'car', 'seems', 'ok', 'initial', 'impact', 'rubber', 'garbage', 'im', 'afraid', 'drive', 'car', 'dont', 'know', 'since', 'already', 'checked', 'ok', 'dealer', 'late', '2011', 'help']"
400,May 31,2012,CR-V,Unwanted Acceleration When Braking,"31,200 miles","['full', 'stop', 'removed', 'foot', 'brake', 'car', 'bucked', 'accelerated', 'another', 'car', 'couldnt', 'get', 'car', 'stop']"
401,Dec 09,2011,CR-V 4 cyl,Unwanted Acceleration When Braking,"4,800 miles","['dec9', 'entered', 'underground', 'parking', 'lot', 'campus', 'ohio', 'u', '2011', 'crv', 'taking', 'ticket', 'machine', 'felt', 'car', 'suddenly', 'accelerate', 'respond', 'brake', 'turned', 'cautiously', 'enter', 'parking', 'space', 'area', 'engine', 'revved', 'sounding', 'shrill', 'loud', 'like', 'jet', 'engine', 'wasnt', 'able', 'stop', 'bashed', 'concrete', 'support', 'pillar', 'wearing', 'seat', 'belt', 'air', 'bag', 'deployed']"
